num,den,improvement
NUM_INSTALMENT_NUMBER_mean,CNT_PAYMENT_max,1.0192229021261898
CNT_PAYMENT_mean,CNT_INSTALMENT_FUTURE_mean,1.0137708623842165
CNT_INSTALMENT_FUTURE_mean,CNT_INSTALMENT_FUTURE_max,1.013318538168897
AMT_INSTALMENT_max,AMT_ANNUITY_mean,1.0083134488258336
DAYS_INSTALMENT_max,AMT_CREDIT_LIMIT_ACTUAL_mean,1.0076801968926739
AMT_DRAWINGS_ATM_CURRENT_max,MONTHS_BALANCE_mean,1.007179776734202
DAYS_INSTALMENT_max,DAYS_LAST_DUE_mean,1.0067207881920273
DAYS_TERMINATION_mean,DAYS_LAST_DUE_1ST_VERSION_max,1.0055883425519883
NUM_INSTALMENT_NUMBER_max,CNT_DRAWINGS_POS_CURRENT_max,1.0044257271962984
AMT_GOODS_PRICE_1,AMT_DOWN_PAYMENT_max,1.0042774139200872
AMT_PAYMENT_mean,NUM_INSTALMENT_NUMBER_max,1.0041083152333479
NAME_PRODUCT_TYPE_XNA_mean,NAME_PORTFOLIO_XNA_max,1.0032950933882894
SK_ID_CURR,SK_ID_BUREAU,1.0032771977341917
AMT_ANNUITY_mean,AMT_ANNUITY_max,1.0032399884493537
FLAG_OWN_REALTY,AMT_ANNUITY_1,1.0025124845979363
DAYS_LAST_DUE_mean,AMT_DRAWINGS_CURRENT_mean,1.0024990859786738
SK_DPD_mean_4,RATE_DOWN_PAYMENT_max,1.0022295979166889
NUM_INSTALMENT_VERSION_mean,NUM_INSTALMENT_NUMBER_mean,1.0021751596557538
NAME_CLIENT_TYPE_Repeater_mean,AMT_CREDIT_SUM_DEBT_mean,1.0021573437741613
DAYS_CREDIT_ENDDATE_max,AMT_CREDIT_SUM_DEBT_max,1.0021467754104199
AMT_ANNUITY_max_5,CNT_INSTALMENT_max,1.0021334063193734
DAYS_LAST_DUE_1ST_VERSION_max,AMT_ANNUITY_1,1.0020705760842112
SELLERPLACE_AREA,AMT_ANNUITY_max,1.002000485359171
AMT_CREDIT_MAX_OVERDUE_mean,DAYS_INSTALMENT_max,1.001959544902485
AMT_DRAWINGS_POS_CURRENT_max,DAYS_TERMINATION_mean,1.0019042752013945
MONTHS_BALANCE_4,DAYS_LAST_DUE_1ST_VERSION_mean,1.0018238337888314
MONTHS_BALANCE_mean,DAYS_CREDIT_mean,1.0017756881282482
AMT_CREDIT_SUM_DEBT_max,CNT_INSTALMENT_MATURE_CUM_mean,1.0016801898116183
DAYS_ENTRY_PAYMENT_max,AMT_CREDIT_1,1.001676434115798
DAYS_DECISION_mean,DAYS_ENTRY_PAYMENT,1.0016663846862002
